Ref,Val,Package,PosX,PosY,Rot,Side
"C22","0.1uF","C_0201_0603Metric",-24.440000,16.100000,-90.000000,bottom
"C23","1uF","C_0402_1005Metric",-13.680000,23.680000,180.000000,bottom
"C24","0.1uF","C_0201_0603Metric",-12.110000,22.070000,-90.000000,bottom
"C27","0.1uF","C_0201_0603Metric",-15.200000,15.950000,180.000000,bottom
"C28","10nF","C_0201_0603Metric",-15.200000,16.650000,180.000000,bottom
"C30","0.47uF","C_0402_1005Metric",-12.640000,12.820000,-60.000000,bottom
"C31","10uF","C_0402_1005Metric",-11.140000,17.950000,-90.000000,bottom
"C32","10uF","C_0402_1005Metric",-11.140000,19.760000,-90.000000,bottom
"C37","4.7uF","C_0402_1005Metric",-13.830000,12.700000,-90.000000,bottom
"C42","0.1uF","C_0201_0603Metric",-24.600000,25.240000,180.000000,bottom
"C43","0.1uF","C_0201_0603Metric",-20.143576,23.876424,-90.000000,bottom
"C44","0.1uF","C_0201_0603Metric",-20.163576,25.366424,90.000000,bottom
"C45","0.1uF","C_0201_0603Metric",-20.513576,22.566424,0.000000,bottom
"C46","0.1uF","C_0201_0603Metric",-19.413576,22.276424,-90.000000,bottom
"C47","0.1uF","C_0201_0603Metric",-21.213576,24.566424,0.000000,bottom
"C48","0.1uF","C_0201_0603Metric",-19.443576,24.216424,-90.000000,bottom
"C49","0.1uF","C_0201_0603Metric",-17.738576,24.366424,180.000000,bottom
"C50","10uF","C_0402_1005Metric",-21.703576,23.206424,-90.000000,bottom
"C51","1uF","C_0402_1005Metric",-18.363576,22.970000,-90.000000,bottom
"C52","1uF","C_0402_1005Metric",-19.338576,25.916424,90.000000,bottom
"C53","2.2uF","C_0402_1005Metric",-20.713576,21.716424,0.000000,bottom
"C54","2.2uF","C_0402_1005Metric",-18.110000,21.510000,180.000000,bottom
"C55","2.2uF","C_0402_1005Metric",-21.493576,25.466424,0.000000,bottom
"C56","2.2uF","C_0402_1005Metric",-17.963576,25.166424,180.000000,bottom
"C57","2.2uF","C_0402_1005Metric",-17.413576,22.960000,-90.000000,bottom
"C58","10nF","C_0201_0603Metric",-15.488576,22.616424,180.000000,bottom
"C65","1uF","C_0201_0603Metric",-15.370000,12.740000,-90.000000,bottom
"C66","2.2uF","C_0201_0603Metric",-15.100000,14.590000,180.000000,bottom
"C67","1uF","C_0201_0603Metric",-13.700000,16.700000,0.000000,bottom
"C68","1uF","C_0201_0603Metric",-11.500000,16.700000,180.000000,bottom
"C69","1uF","C_0201_0603Metric",-14.670000,12.740000,-90.000000,bottom
"J2","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",-20.000000,19.000000,180.000000,bottom
"L10","BLM03PX121SN1D","L_0201_0603Metric",-16.613576,22.316424,-90.000000,bottom
"L11","BLM03PX121SN1D","L_0201_0603Metric",-18.488576,26.391424,90.000000,bottom
"L12","BLM03PX121SN1D","L_0201_0603Metric",-22.113576,21.616424,90.000000,bottom
"L13","BLM03PX121SN1D","L_0201_0603Metric",-15.538576,21.466424,180.000000,bottom
"L14","BLM03PX121SN1D","L_0201_0603Metric",-22.613576,24.466424,0.000000,bottom
"L15","BLM03PX121SN1D","L_0201_0603Metric",-17.443576,26.356424,180.000000,bottom
"L16","BLM03PX121SN1D","L_0201_0603Metric",-16.263576,25.616424,180.000000,bottom
"R1","1k","R_0201_0603Metric",-21.950000,26.616424,180.000000,bottom
"R2","1k","R_0201_0603Metric",-20.538576,26.616424,180.000000,bottom
"R13","0","R_0201_0603Metric",-25.400000,11.060000,0.000000,bottom
"R16","15k","R_0201_0603Metric",-14.240000,24.550000,0.000000,bottom
"R21","4.7k","R_0201_0603Metric",-22.913576,23.666424,0.000000,bottom
"R22","4.7k","R_0201_0603Metric",-22.913576,22.966424,0.000000,bottom
"R23","125k,1%","R_0201_0603Metric",-15.600000,10.570000,-90.000000,bottom
"R26","4.7k","R_0201_0603Metric",-26.580000,23.580000,180.000000,bottom
"U1","RHS2116","INTAN_QFN44-7.0x7.0x0.8_P0.5",-20.000000,12.800000,90.000000,bottom
"U2","TS4231","TRIAD_BGA-9_3x3_1.7x1.7mm",-13.613576,22.050000,-90.000000,bottom
"U5","NCP163AFCT180T2G","ONSEMI_567JZ_WLCSP4-0.64x0.64",-15.510000,13.850000,-90.000000,bottom
"U6","TS4231","TRIAD_BGA-9_3x3_1.7x1.7mm",-27.010000,22.116424,0.000000,bottom
"U9","NCP163AFCT330T2G","ONSEMI_567JZ_WLCSP4-0.64x0.64",-12.600000,16.700000,0.000000,bottom
"U10","NCP163AFCT120T2G","ONSEMI_567JZ_WLCSP4-0.64x0.64",-14.762500,13.847500,-90.000000,bottom
"U11","W25Q80EWUXIE","WINBOND_USON8-2x3x0.6",-24.763576,22.966424,90.000000,bottom
"U12","DSC6011JI1A-050.0000","MICROCHIP_VFLGA4-2.0x1.6",-15.938576,24.116424,0.000000,bottom
"U13","TPS826951","TI_SIP0008B",-12.800000,15.050000,180.000000,bottom
