"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"OE_COAX-ADAPTER-XFL-A";1;"OE_COAX-ADAPTER-XFL-A (DNP)";;;
2;"L7,L2,L1";"L_0402_1005Metric";3;"BLM15AX102SN1D";;;
3;"C41,C40,C20,C4,C26,C19,C18,C21,C6,C5,C11,C24,C27,C43,C45,C49,C47,C44,C48,C22,C42,C46";"C_0201_0603Metric";22;"0.1uF";;;
4;"SW1";"MITSUMI_R-668049";1;"R-668049";;;
5;"C36,C60";"C_0201_0603Metric";2;"10pF";;;
6;"U8";"LATTICE_ufcBGA64C40P8X8_3.5X3.5X1.0";1;"LIF-MD6000-6UMG64I";;;
7;"R15";"R_0201_0603Metric";1;"49.9";;;
8;"D2";"ROHM_SML-P11MTT86R";1;"SML-P11UTT86R";;;
9;"U7";"TI_RHB0032P";1;"DS90UB953A-Q1";;;
10;"G***,G***";"LOGO";2;"LOGO";;;
11;"J3";"IDC-Header_2x05_P2.54mm_Vertical";1;"SBH11-PBPC-D05-ST-BK";;;
12;"C29,C63,C64,C33,C37";"C_0402_1005Metric";5;"4.7uF";;;
13;"R14,R8";"R_0201_0603Metric";2;"2k";;;
14;"R25,R2,R1";"R_0201_0603Metric";3;"1k";;;
15;"C34,C17,C25,C35,C52,C23,C51";"C_0402_1005Metric";7;"1uF";;;
16;"R7,R10,R9";"R_0201_0603Metric";3;"10k";;;
17;"D3,D1";"OSRAM_SFH2400FA-Tight";2;"SFH 2400 FA";;;
18;"R20,R11,R12,R22,R26,R21";"R_0201_0603Metric";6;"4.7k";;;
19;"C8,C14,C16,C7,C9,C15,C28,C58";"C_0201_0603Metric";8;"10nF";;;
20;"C12";"C_0402_1005Metric";1;"0.1uF";;;
21;"C2,C1,C3,C32,C50,C31";"C_0402_1005Metric";6;"10uF";;;
22;"U4";"LINEAR_SON50P300X500X80-19N-D";1;"LTC3265xxHC#PBF";;;
23;"R24,R18";"R_0201_0603Metric";2;"604k,1%";;;
24;"R19,R23";"R_0201_0603Metric";2;"125k,1%";;;
25;"U3";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
26;"L9";"L_0805_2012Metric";1;"CIG21L4R7MNE";;;
27;"L8";"L_1210_3225Metric";1;"CBC3225T101MR";;;
28;"R4";"R_0201_0603Metric";1;"78.7k,1%";;;
29;"J5";"ONIXJTAG-RevA";1;"PINHD-1x7_ONIXJTAG-RevA";;;
30;"R3";"R_0201_0603Metric";1;"39.2,1%";;;
31;"R17,R16";"R_0201_0603Metric";2;"15k";;;
32;"TP9";"TestPoint_Pad_D0.6mm";1;"~{CS}_{Flash}";;;
33;"C13";"C_0402_1005Metric";1;"47nF";;;
34;"TP2";"TestPoint_Pad_D0.6mm";1;"GPIO3";;;
35;"C10";"C_0402_1005Metric";1;"22nF";;;
36;"";"OE-LOGO-7X5";1;"";;;
37;"F1";"LITTLEFUSE_0402";1;"0402L020SL";;;
38;"C59,C30";"C_0402_1005Metric";2;"0.47uF";;;
39;"TP3";"TestPoint_Pad_D0.6mm";1;"+1.2V";;;
40;"R13";"R_0201_0603Metric";1;"0";;;
41;"C65,C69,C67,C68";"C_0201_0603Metric";4;"1uF";;;
42;"JP1";"OE_SolderJumper-2_0201_Open_Pad";1;"Jumper_2_Open";;;
43;"C54,C55,C57,C56,C53";"C_0402_1005Metric";5;"2.2uF";;;
44;"U2,U6";"TRIAD_BGA-9_3x3_1.7x1.7mm";2;"TS4231";;;
45;"U11";"WINBOND_USON8-2x3x0.6";1;"W25Q80EWUXIE";;;
46;"L10,L13,L16,L12,L11,L15,L14";"L_0201_0603Metric";7;"BLM03PX121SN1D";;;
47;"C66";"C_0201_0603Metric";1;"2.2uF";;;
48;"U10";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT120T2G";;;
49;"U1";"INTAN_QFN44-7.0x7.0x0.8_P0.5";1;"RHS2116";;;
50;"TP1";"TestPoint_Pad_D0.6mm";1;"+3.3V";;;
51;"U5";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT180T2G";;;
52;"TP4";"TestPoint_Pad_D0.6mm";1;"+2.5V";;;
53;"U13";"TI_SIP0008B";1;"TPS826951";;;
54;"J2";"HIROSE_DF40C70DP04V51";1;"DF40C-70DP-0.4V(51)";;;
55;"U12";"MICROCHIP_VFLGA4-2.0x1.6";1;"DSC6011JI1A-050.0000";;;
56;"U9";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT330T2G";;;
